genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,7,67,0.089879363125,0.82667022125,0.46562422750000004,-2.4092869175267846,-0.19034942860126988,1.562209834895318
GD,7,68,0.19013443037499997,0.31546121987500003,0.490543495,-1.6600239287123182,-1.153719520958245,-0.7747095397747411
GD,7,69,0.20154455925,0.228518183125,0.5423795775000001,-1.6017447843256187,-1.4761394957744953,-1.2166973197825108
GD,7,70,0.198619669,0.40043597,0.49831335875,-1.6163634940071552,-0.9152014004111731,-0.4036488958646784
GD,7,71,0.15200847841249998,0.7011924314999999,0.3429329945,-1.8838189806618477,-0.3549729196327847,0.8529825767595389
GD,7,72,0.10860792674999999,0.12756144475,0.46139176500000006,-2.220010883814475,-2.0591571108617726,-1.922694059694112
GD,7,73,0.33183802125,0.38498379875,0.6765237387499999,-1.1031083169228322,-0.9545540267486212,-0.4684473587219533
GD,7,74,0.193440059125,0.49901440750000003,0.48665598625,-1.6427875864653703,-0.695120310901937,-0.0039423751061303785
GD,7,75,0.09574776562499998,0.10978070425,0.35087976125000003,-2.3460379867027976,-2.2092705007780373,-2.092983053889762
GD,7,76,0.32931827337499997,0.593401487125,0.292215545875,-1.1107305995663852,-0.5218840650196918,0.3780449702392259
GD,7,77,0.19261599975000002,0.280786467625,0.45404052749999996,-1.6470567106385285,-1.2701608002104243,-0.9405638200804834
GD,7,78,0.269913998625,0.23180920875,0.5788532875,-1.3096518943342936,-1.4618406217301259,-1.1981234711497761
GD,7,79,0.13375850375,0.13872915824999998,0.66069552875,-2.0117193157878557,-1.9752317484491777,-1.8258854909215563
GD,7,80,0.152180616875,0.25079419937499997,0.473340825,-1.8826871946541195,-1.383122598979675,-1.0943810329627524
GD,7,81,0.09468134150000002,1.0478441025,0.307797734,-2.3572383256576845,0.04673481767691871,
GD,7,82,0.144351079375,0.1259823345,0.5461323400000001,-1.9355068954158703,-2.0716135842408843,-1.9369588929525807
GD,7,83,0.21867891387500002,0.4257483445,0.4387807637500001,-1.520150771699884,-0.8539068478790779,-0.29921929335272
GD,7,84,0.119731077,0.7833465662500001,0.49122373125,-2.1225070760545535,-0.24418006756962216,1.285276214056096
GD,7,85,0.2370189298625,0.215723253575,0.4501023875,-1.4396152681991183,-1.5337589262283695,-1.2907655981983386
GD,7,86,0.192868950625,0.278540006625,0.45125032375,-1.6457443330162145,-1.2781935795724568,-0.9517152280291803
GD,7,87,0.269805258125,0.492142011625,0.339887985,-1.3100548464250756,-0.708987962624549,-0.03143454169647187
GD,7,88,0.08929785600000001,0.17751107812500003,0.45205151,-2.41577780034647,-1.7287222600423815,-1.533301994764081
GD,7,89,0.266423607875,0.416656623875,0.5181888975000001,-1.3226677260928597,-0.8754928403443746,-0.33651355567777597
GD,7,90,0.348253176125,0.7444889967750001,0.19118051187500001,-1.0548255461197336,-0.2950572063158449,1.069432598489941
GD,7,91,0.20387569362500002,0.5882455799999999,0.4328115975,-1.5902448158395117,-0.5306107652150488,0.35671741009785923
GD,7,92,0.19250182475,0.53417725875,0.49812405624999995,-1.6476496460784464,-0.6270275498788502,0.13692255092551867
GD,7,93,0.10264746712499999,0.38570178749999995,0.6841754349999999,-2.2764548106876736,-0.9526907793477891,-0.46541599871524963
GD,7,94,0.292530651125,1.016617934375,0.31795965775,-1.229185827629392,0.016481367400728933,
GD,7,95,0.37319391324999995,0.314610443125,0.42354126125,-0.9856571197614586,-1.1564200939788292,-0.778652187780417
GD,7,96,0.19958599187499998,0.503733558625,0.44925515250000003,-1.6115100985545483,-0.6857078042191348,0.014934512076172406
GD,7,97,0.279592339375,0.638792651375,0.47022806250000004,-1.2744226675135648,-0.44817536650362927,0.5701277461121805
GD,7,98,0.07746930525,0.26692115,0.45070485625,-2.557873482366147,-1.3208019825489992,-1.0102999712915666
GD,7,99,0.09901015462499999,0.11898847224999999,0.637191425,-2.3125328621379952,-2.128728662411728,-2.0020440941269295
GD,7,100,0.41097957962500004,0.5289424926249999,0.5745788924999999,-0.8892117503309291,-0.6368755626267267,0.11589953345456395
GD,7,101,0.41036822375,0.6913068402500001,0.40869580875000006,-0.8907004156329883,-0.3691715013163813,0.80623600464739
GD,7,102,0.23218992700000002,0.3487272175,0.48230586000000003,-1.4601995913656036,-1.053465274145283,-0.6246385703443692
GD,7,103,0.26954584049999997,0.45194712875,0.6679591562499999,-1.3110168084778688,-0.7941900777836749,-0.1928065614788323
